id,respondent,group,questionnaire,question_code,question,form,title,response,rationale,confidence_score,recall_score
56,9,E,Post,Q13,Recall,Short,Abbot Elementary,They were talking about pizza and how he didn't like the type of pizza. They were in the break room during this time. He threw away the pizza and that's all I remember. They were all sitting together and one character couldn't believe that he didn't like the pizza.....................................,"The participant recalls the group being in the break room, discussing pizza, and disbelief that Gregory didn't like it, which aligns with some MODEL EVENTS. However, they incorrectly state he threw away the pizza and miss most of the key confessions, group reactions, and follow-up questions.",85,40
117,9,E,Post,Q18,Recall,Long,Mad Max,"They were chasing each other. They were chasing the female character because she was running away with some people hidden in her car. There was a character with guitar at the front of the car. In another car, there was a guy hooked up to get a blood transfusion from one of the demons. This scene was long and drawn out!","The participant mentions a chase involving the female character (Furiosa) and people hidden in her car, which loosely aligns with the War Rig being pursued. However, there is no mention of the Buzzards, the high-speed battle, the War Boys' actions, or the suicide attack. The details about the guitar player and blood transfusion are not part of the key moment. Only the general context of a chase is recalled.",90,20
95,10,B,Post,Q18,Recall,Long,Mad Max,This chase scene was about a battle to catch Imperator Furiosa and then there was another gang that intercepted them and the fight began. Rocky was hood ornament.  Furious was trying to get the big truck rig away to free the women inside to keep them from prison with the weird old guy who kept them enslaved as breeders.,"The participant recognizes the general context of a chase and battle involving Furiosa and another gang, and mentions the War Rig and the goal of freeing the women. However, they do not recall the specific Buzzard attack, the high-speed battle details, the War Boys’ actions, or the suicide attack, which are the core events of the key moment.",90,40
58,10,B,Post,Q13,Recall,Short,The Town,"This was the beginning of a bank truck robbery, there was a shoot out followed by a car chase thru the city using their minivan and after being chased by the police,  they managed to block the police and escape in a vehicle.  Finally towards the end the switched cars and at the end they burned a car.","The participant recalls the armored truck robbery, the shootout, the car chase in the minivan, the police pursuit, the vehicle switch, and burning the car. However, details about the nun masks, the guards' resistance, and the specific sequence of the escape are missing or vague, but the main actions and order are correct.",90,80
3,11,F,Post,Q13,Recall,Long,Abbot Elementary,They were talking about pizza they thought was the best and Chris rock said he liked crunchy soggy pizza called Baltimore style pizza. So someone went to buy it for him but it turns out he was lying and he doesn’t like pizza in general. They were discussing how he doesn’t like pizza and that can’t be possible,"The participant accurately recalls that Gregory lied about liking a specific style of pizza (Baltimore-style), that someone went to get it for him, and that he ultimately admits he doesn't like pizza. However, the response omits key details such as the group’s reaction, the dramatic mop drop, the extended teasing, and Gregory’s explanation about being a picky eater. The ordering and main beats are correct, but the recall lacks specificity and completeness.",90,60
150,11,F,Post,Q18,Recall,Short,Mad Max,To be honest I don’t remember to much. They were driving in a car and a bunch of other people were driving beside them and trying to kill someone I think. It wasn’t too clear there was not a lot of diologe in the scene. It was mainly just a lot of explosions and racing scenes. I didn’t find it enjoyable and can’t remember particular details,"The participant explicitly states they do not remember much and cannot recall particular details. They mention cars, explosions, and racing, which is a vague reference to the battle, but there is no specific recall of the Buzzards, War Boys, Furiosa, or the suicide attack. The response lacks accuracy and specificity.",95,10
86,13,C,Post,Q18,Recall,Long,Abbot Elementary,"The other teachers were mocking him for not liking pizza. Eventually the guy admitted it, but he had to tell a detailed lie about pizza he liked in Baltimore that was crispy and soggy or some weird combo like that. It was a painful show to watch and it tried so hard to be funny. Then the teacher got all emotional because others got on him about not liking pizza and he went to go eat food in his car alone.","The participant recalls the teachers mocking Gregory, his invented story about Baltimore pizza, his eventual emotional admission, and his decision to leave and eat alone. While some comedic details and specific group reactions are missing, the response covers the main events, including the lie, the group’s exaggerated response, and Gregory’s emotional exit.",95,85
73,13,C,Post,Q13,Recall,Short,The Town,"The guy was guarding outside while others were inside robbing the bank. Then chaos broke loose, cops arrived and a chase + shootout occurred. It was either a bank or a money truck, possibly both. I don't remember all the details but I do remember some of the men were shot and killed. Long police chase and I think they got away.","The participant remembers a guard outside, a robbery, chaos, a police chase, and a shootout, which matches the ambush, resistance, police pursuit, and gunfire. However, the response is vague, conflates the bank and armored truck, and incorrectly states that some of the men were shot and killed (not in the key moment), missing the specifics of the escape and vehicle switch.",90,45
139,14,A,Post,Q18,Recall,Short,Mad Max,"In this post apocalyptical wasteland fuel and machines are instruments of war between waring factions. The buzzards control their area and lay traps for would be passers by. A fight of spikes, motocross, and hamade lance bombs ensues. The rig driver Furiosa is extremely competent and seriously capable to multitask defense with driving.","The response identifies the Buzzards, the use of traps, and the ensuing battle involving spikes and 'lance bombs,' as well as Furiosa's defensive driving. However, it lacks specific mention of the suicide attack, the War Boys' actions, and the resolution of the battle, so several key events are missing or only vaguely referenced.",85,60
16,14,A,Post,Q13,Recall,Long,The Town,The guys perform a heist on a money truck and have to get away from the cops. After the call goes out on the APB. An action packed chase scene happens in Boston city as they try to get away with the money. Eventually they switch cars and explode the first car and jump a bridge. Also at the same time a detective looks for clues and tries to intimidate/interrogate his suspects after the fact.,"The participant recalls the heist, the police APB, the chase, the car switch, and the explosion of the first car, which matches the key moments. However, they add extraneous details (detective subplot, jumping a bridge) and miss specifics like the nun disguises, the guard being shot, and the gunfire exchange, resulting in a less complete recall.",90,75
96,15,B,Post,Q18,Recall,Long,Mad Max,This was a battle where Imperator Furiosa was escaping with the truck and trailer to free women from the old weird guy who kept them as slaves for breeding.  Another gang tried to stop them and this big battle broke out with Rocky as a hood ornament.  Furiosa managed to get away in a big sand storm.,"The participant recalls the general context of Furiosa escaping with the War Rig and being attacked by another gang, which aligns with the Buzzards' attack and the ensuing battle. However, they do not mention the suicide attack by the War Boy or the specific details of the battle, and they incorrectly reference a sandstorm as the escape, which is not part of the key moment.",90,40
59,15,B,Post,Q13,Recall,Short,The Town,"This was the beginning of a bank truck robbery.  The 4 robberies all wore the same masks and after completing the robbery they drove off in a minivan and had a gunfight with Boston police and a car chase thru narrow streets.  They ended up crashing and blocking the street for the police, and escaped in another vehicle.  Once away they switched cars and set fire to the last car.","The participant recalls the four robbers in matching masks, the armored truck robbery, the minivan getaway, the gunfight and chase with Boston police, the vehicle switch, and burning the car. The response is specific and mostly accurate, only omitting minor details like the nun habit disguises and the exact sequence of the guard confrontation.",95,90
87,16,C,Post,Q18,Recall,Long,Abbot Elementary,"There were two main plots, one plot was that the light skin male did not like pizza and his colleagues were surprised by it. He said he only liked pizza from Delaware extra wet and so one of his friends got him that pizza so they could eat pizza together and see which pizza was the best. The other plot involved one of the teachers leading students in a step class after school and another teacher or principal wanting to take over that class and initially just having fun with the students and not working on step. The first teacher gets upset and the Second Lady gets more involved and the episode ends with a step show during a school event and the second teacher leaves right before the show leaving the students without the ability to show their dance to the school. The first teacher convinces her to show the school stepping together and both and the students step dance for the school and everyone is impressed and their relationship is good after","The participant accurately recalls the central plot about Gregory (the 'light skin male') not liking pizza, the fabricated story about a special pizza, and a colleague obtaining that pizza for him. They also mention the group dynamic and surprise, but miss key details such as the dramatic reactions, the sequence of Gregory's confession, the specific foods discussed, and the Lady Gaga joke. The response is generally accurate but lacks specificity and omits several key moments.",90,60
74,16,C,Post,Q13,Recall,Short,The Town,There were multiple men involved in a robbery of an armored truck carrying cash. They had large assault riffles and put on scary costumes that looked like nuns on for it. One of the armored truck men held one of the robbers hostage to try to get the money back and the robbers ended up shooting him and driving away but not for long as the police stated to follow them. They would drive through narrow roads in a minivan trying to evade the cops and got into some shootouts with police. Another robber comes and rescues them by blocking the road with another car and they get into the second getaway car while lighting up the minivan on fire and exploding,"The participant accurately recalls the armored truck, nun costumes, the guard taking a robber hostage, the shooting, the minivan escape, the police chase through narrow streets, the shootout, the switch to a second getaway car, and burning the minivan. The only minor error is the mention of another robber rescuing them, but overall, the response is highly specific and well-ordered.",95,90
5,17,F,Post,Q13,Recall,Long,Abbot Elementary,"They brought in a pizza from a character's hometown after he lied and said he only liked a certain ""wet"" style from a specific restaurant to hide the fact that he doesn't like pizza. When he picked up a slice of the pizza it was dripping and looked so unappetizing. The character looked very uncomfortable and clearly did not want to eat the pizza.","The participant remembers that a special pizza was brought in to expose Gregory’s lie about liking a certain style, and that he was uncomfortable and did not want to eat it. However, the response omits the group’s reactions, the confession about being a picky eater, the dramatic and comedic elements, and the aftermath. The main deception and discomfort are recalled, but much of the key moment’s detail is missing.",85,50
153,17,F,Post,Q18,Recall,Short,Mad Max,"The scene was a post-apocalyptic car chase through the desert. A bunch of scavenger-like characters were chasing the main character, and they also had a man hostage who the main character seemed to know. Lots of crashing and explosions and spears and cars made out of random salvaged items. There was a lot going on in this scene.","The participant accurately recalls the desert car chase, scavenger attackers, and the chaotic action with crashing, explosions, and salvaged vehicles, which aligns with the Buzzards' attack and the battle. However, they do not mention Furiosa's specific actions, the War Boys' suicide attack, or the resolution, so several key events are missing.",90,60
123,19,D,Post,Q18,Recall,Short,Abbot Elementary,"The younger guy brought in pizza for the teachers, and shared that he went to great lengths to get the type of pizza he thought Gregory likes. Gregory shared with the others that he doesn’t like pizza, after trying to hide that fact from them for a long time. They berated him for it, and he stood by his opinion.","The participant accurately recalls Jacob bringing in pizza for Gregory, Gregory hiding his dislike of pizza, and the group reacting negatively when he admits it. However, they omit key details such as the Baltimore-style pizza, Mr. Johnson's reaction, the specific foods discussed, and the Lady Gaga joke. The order and main beats are generally correct, but the response lacks specificity and misses several model events.",90,60
29,19,D,Post,Q13,Recall,Long,The Town,"3-4 men in creepy nun costumes and masks robbed a truck full of cash. They had big guns, maybe machine guns. They shot and killed one of the guards of the truck. They took all of the money from the truck and put it in their car and then got in a big car chase with the cops who were trying to capture them. There were many police vehicles, a lot of shooting, a lot of chaotic driving and crashing, and eventually they got into a different van and set the first car on fire.","The participant recalls the nun costumes, the robbery of the cash truck, shooting a guard (though incorrectly says killed), taking the money, the car chase, police pursuit, switching vehicles, and burning the first car. The main sequence is accurate, but there is a factual error about the guard's fate and some minor embellishments.",95,85
46,20,E,Post,Q13,Recall,Short,Abbot Elementary,One of his colleagues got him his own pizza for their pizza day for the teachers in the teacher lounge and the pizza was soggy when he lifted it and then he told them that he doesn’t like pizza and everyone in the room was shocked and questioning him about not liking pizza. Then he told them the reason why he doesn’t like pizza,"The participant recalls that a colleague got Gregory his own (soggy) pizza, that he admitted to not liking pizza, and that the group was shocked and questioned him. The response misses details about Gregory inventing the Baltimore-style pizza story, the coworkers' theatrical reactions, and the follow-up about other foods, but captures the core confession and group reaction.",90,75
107,20,E,Post,Q18,Recall,Long,Mad Max,The war take driver had 5 girls that she was smuggling east to get away from their husband and when the husband found out he sent people to get his wife’s back and their was a fight to get them back and when they went off road to head east the people that was with them was confused why and where they left from someone alerted the husband and he sent people to retrieve them,"The response focuses on Furiosa smuggling the wives and the pursuit by their husband’s forces, but does not mention the Buzzards, the desert battle, the War Boys' actions, or any of the specific events from the key moment. The recall is limited to the general premise and lacks detail or specificity about the actual battle scene.",95,10
124,35,D,Post,Q18,Recall,Short,Abbot Elementary,"I wasn’t able to get this far in the session. They were having technical difficulties trying to set up my equipment, so I was only able to see the first show or a movie which was the town because I seem part of that or maybe it was part one that made a very familiar so that’s how I remember that, but I was unable to make it to this part of the session due totechnical difficulties",The participant explicitly states they did not see this part of the session due to technical difficulties and provides no recall of the key moment events.,100,0
31,35,D,Post,Q13,Recall,Long,The Town,"In the scene, they are robbing the bank and basically watching the cops arrive and as they arrive, they basically start having a shoot out with them to get away but end up getting chased trying to flee the scene of the bank where they robbed and shot the security guard so I fling there’s another cop car that ends up chasing them. They end up shooting that one then they flea again sapphire to the car jump in another car and cross a bridge that is being lifted.","The participant accurately recalls the bank robbery, the arrival of the police, a shootout, a chase, the shooting of a security guard, and the crew switching cars. They also mention crossing a bridge, which is not part of the MODEL EVENTS, but the main sequence and several key actions are correctly described, though some details are out of order and not all events are covered.",85,70
47,36,E,Post,Q13,Recall,Short,Abbot Elementary,"The crew was eatting pizza . Several of the actors were eatting pizza . The actor was asked to have  a slice of pizza , he didn’t like it ( he don’t really like pizza ) and he told the other actor. He thinks pizza isn’t a good meal plus it was rather wet . He’s likes bring his own lunch to work . He rather a different kind of human being/ nothing wrong with liking what you likes .","The participant remembers the group eating pizza, Gregory being asked to have a slice, and his admission that he doesn't like pizza, including a mention of the pizza being wet. However, the response lacks specificity about the Baltimore-style pizza, the dramatic and comedic group reactions, and the sequence of events, and introduces unrelated details about Gregory bringing his own lunch and being a 'different kind of human being.'",85,60
108,36,E,Post,Q18,Recall,Long,Mad Max,They had captured the man and was riding across the desert to fight the enemies . I felt like they were also fighting each other for power and control. It was a lot of action for sure . I felt like those characters all had been adubted at some point and were turned into something they were not in the beginning.,"The response is vague and does not reference any specific MODEL EVENTS. There is a general mention of action and conflict, but no mention of the War Rig, Buzzards, the high-speed battle, or the suicide attack. The answer is mostly thematic and speculative.",95,10
97,37,B,Post,Q18,Recall,Long,Mad Max,This one was difficult because of how long the scene was. But I remember the guy jumped with two sticks and exploded the car infront of him. After he jumped the guy dies and the car explodes and causes damage all around him. This was a scene I had to recall because I remember it was one of the shocking moments,"The participant accurately recalls the suicide attack by a War Boy who jumps with explosives and detonates a car, which matches the key moment's core event. However, they omit the broader context of the Buzzards' attack, the chaotic battle, and Furiosa's tactics, focusing mainly on the explosion.",95,70
60,37,B,Post,Q13,Recall,Short,The Town,"They robbed a truck full of money, they get chased by cops, I remember a brief moment he stared down a kid looking at them in awe. This scene I remember created suspense, and boosted my adrenaline. They get chased until I think they get caught or start shooting down the cop car. This was a key moment because they caused mayhem in the city","The participant recalls the armored truck robbery, the police chase, and the robbers shooting at the police, which aligns with several key events (6, 13-16). However, they omit the disguises, the switch to the second getaway car, and the burning of the minivan, and their ordering is somewhat vague. The mention of a kid is a long-form detail not in the model events.",85,50
98,39,B,Post,Q18,Recall,Long,Mad Max,Furiosa chose to take her Father's oil rig off the designated route. This caused a stir and a chase ensued. Tom Hardy's character is strapped to the front of the chasing car. This allows the driver to survive as he needs it survive and drive. The driver follows Furiosa into a big storm and attempts to blow himself up to stop her. This fails as the flare doesn't ignite an explosion.,"The participant recalls the chase, the War Boy (Tom Hardy's character is misattributed, but the description fits the War Boys), and the attempted suicide attack with an explosive. However, they incorrectly state that the explosion fails, missing the successful detonation and the cheering War Boys, and do not mention the Buzzards or the full battle sequence.",90,50
61,39,B,Post,Q13,Recall,Short,The Town,Prior to the robbery Ben Affleck's character makes eye contact with a young boy after putting on his mask. The three gunmen robbed an armored truck and killed the security personnel. They proceeded to have a chase with police in the streets of Boston with many shots fired from their assault rifles. They were able to switch vehicles and set the van causing an explosion.,"This response accurately recalls the robbers putting on masks, robbing the armored truck, killing a guard, the police chase with gunfire, switching vehicles, and setting the van on fire, which matches most of the key model events (2, 6, 8, 13-16, 18-22). The only minor inaccuracy is the claim that the guard was killed rather than wounded, but overall recall is highly specific and well-ordered.",95,90
48,40,E,Post,Q13,Recall,Short,Abbot Elementary,It was set in a lunchroom at an office. Some people ordered pizza - everyone thought the person on the right loved pizza when in reality he hated pizza. But just told everyone he did to basically fit in and not get questions as to why in the world wouldn't he live pizza. The other people in the lunchroom were asking questions.,"The participant accurately recalls the setting (lunchroom), the group eating pizza, Gregory pretending to like pizza to fit in, and the group questioning him. They miss specific details such as the Baltimore-style pizza, Mr. Johnson's reaction, and the sequence of group reactions, but capture the core revelation and social dynamic.",95,70
109,40,E,Post,Q18,Recall,Long,Mad Max,the 'bad people' are chasing Furiosa who has veered off course from the original destination to get fuel. These people are all chasing her. The guy who is in mid air jumped off Furiosa's tanker truck and was trying to prevent the chasers from stopping her. The guy strapped to the car on the left is Max who was kidnapped. They are using his blood to power their car.,"The participant correctly identifies Furiosa being chased after veering off course, and describes a man jumping off the War Rig to stop the pursuers, which aligns with the suicide attack event. There is also mention of Max being strapped to a car and used for his blood, which is accurate but not central to the key moment. The response misses details about the Buzzards, the nature of the battle, and Furiosa's direct actions, but captures several core elements.",90,60
6,41,F,Post,Q13,Recall,Long,Abbot Elementary,"So when he said that he liked the pizza from Boston crispy and soggy, he didn't realize that his coworker would go out and buy it and bring it over to him so even though his coworker surprised him with the pizza that he claimed he liked, he still wasn't interested in the pizza. He just said it just to make his coworkers happy","The participant recalls that Gregory lied about liking a specific style of pizza and that Jacob brought it for him, but Gregory still did not want it. They also mention Gregory lied to make his coworkers happy, which aligns with his desire to fit in. However, the response omits the group’s reaction, Gregory’s confession about being a picky eater, the dramatic and comedic responses, and the sequence of events after the pizza is presented.",90,45
154,41,F,Post,Q18,Recall,Short,Mad Max,"I remember the woman Furiosa speeding anddriving and everyone else fighting off everyone who was chasing them, including the guy in the passenger seat.They were driving at high speed. It was getting violent. They were fighting back. There was a lot of excitement, a lot of action and intensity. I remember they had someone hostage and everyone was fighting back against each other. It was definitely a nailbiter.","The response identifies Furiosa's driving, the high-speed chase, and the general violence and fighting back, which matches the battle and Furiosa's resistance. However, it lacks mention of the Buzzards, the War Boys' specific actions (like the suicide attack), and the outcome, so recall is partial and somewhat vague.",85,55
7,42,F,Post,Q13,Recall,Long,Abbot Elementary,"In this scene, the guy looking at the pizza with disdain lied to his friends about liking pizza by making up this huge story about how he only likes pizza from Boston I believe, and he said it was like wet and also crunchy so his friend drove all the way over there and got him a pizza and this is basically the scene where they find out that he lied to them and he just doesn’t like pizza or lots of other foods that are American staples. The characters were these two guys that are in the picture as well as four other women who are also part of the cast, though I believe only two of those other women were part of this particular scene.","The participant accurately recalls that Gregory lied about liking a specific pizza, Jacob went out of his way to get it, and the group discovers Gregory's lie and his general dislike for pizza and other foods. They also mention the presence of multiple characters. However, the response lacks detail about the group’s theatrical reactions, the specific comedic beats (like Mr. Johnson’s mop drop or the Lady Gaga joke), and the escalation of questioning about other foods.",90,65
155,42,F,Post,Q18,Recall,Short,Mad Max,"It looked like there’s some sort of chase going on between two factions and there was a lady driving one of the cars who I guess was in charge of the one faction and there were these other humanoid things involved. In the chasing faction, there was a man tied to the front of a car, and the people being pursued were blowing up some of the cars in pursuit, and at one point some guy jumped from the main truck and sacrificed himself to blow up another car, after eating some white spray paint stuff.","This response captures most key events: the chase between factions, Furiosa leading, the man tied to a car (a War Boy), vehicles being blown up, and a War Boy sacrificing himself with an explosive (including the detail of the white spray paint ritual). The only missing element is explicit mention of the attackers being driven off, but overall recall is highly accurate and specific.",95,90
88,43,C,Post,Q18,Recall,Long,Abbot Elementary,All of the teachers mentioned their favorite pizza establishments.  One of the teachers said they like pizza from a place in Baltimore.  They like their pizza wet.  Another teacher went and bought the pizza from the establishment in Baltimore.  The teacher that said they liked the pizza from Baltimore said it is disgusting and said they don't like pizza.,"The participant recalls the teachers discussing favorite pizza places, Gregory's claim about Baltimore pizza, Jacob getting the pizza, and Gregory admitting he doesn't like pizza. However, they omit the group’s reactions, the reason for Gregory’s lie, the dramatic and comedic responses, and the follow-up questioning about other foods. The response covers the basic plot but misses many specific and emotional beats from the key moment.",90,50
75,43,C,Post,Q13,Recall,Short,The Town,"The characters in this scene robbed a truck that had money in it.  They wore these masks as a way to hide their identity.  As they were trying to escape, they were being chased by the police.  The characters used machine guns to shoot at the police.  At the end of the scene they get into another vehicle and light their original vehicle on fire.","The participant accurately recalls the armored truck robbery, the use of masks, the police chase, the crew shooting at police, the vehicle switch, and burning the original van. The response omits some specific details (e.g., nun masks, the guard's resistance, and the sequence of subduing guards), but covers most major events in correct order.",95,85
8,44,F,Post,Q13,Recall,Long,Abbot Elementary,This is from an episode where everybody is talking about their favorite pizza places. His character says he really loves St Louis pizza. He's picking up the pizza his friends got for him from his hometown and he doesn't want anything to do with it since he hates pizza. The pizza is extra soggy and greasy and looks really nasty when held up. It's a super funny scene and his expressions throughout it are hilarious.,"The participant remembers that Gregory claims to like a specific regional pizza, his friends get it for him, and he does not want it because he hates pizza. They also note the pizza’s unappetizing appearance and Gregory’s expressions. However, the response misidentifies the pizza as St. Louis style instead of Baltimore, omits the group’s reactions, Gregory’s confession about being a picky eater, and the subsequent comedic escalation, providing only a partial and somewhat inaccurate recall.",85,40
156,44,F,Post,Q18,Recall,Short,Mad Max,"A bunch of guys are attacking each other in the desert and this guy decides to jump off his car and make the ultimate sacrifice. There's another guy tied to the front of the car watching all this happen and he seems to be a hostage. The sacrificer, explodes right after making contact with the car he's jumping on and takes out the enemy. With his comrades and friends cheering on his sacrifice. Super fun scene, very exciting and action packed.","The participant accurately recalls the suicide attack by a War Boy, his leap and explosion, and the cheering of his comrades, which covers events 5-7. They also mention the desert battle and vehicles attacking each other, aligning with events 1-3. The mention of a hostage (Max) is extraneous but does not detract from the recall of the key moment.",95,90
126,46,D,Post,Q18,Recall,Short,Abbot Elementary,The teachers were at a lunch break and they were all eating pizza. One teacher wasn’t eating pizza and he said it’s because he only likes pizza from where he is from. Another teacher who is sucking up to the other teacher said he went all the way to get that teacher the pizza from where he is from. The teacher finally confessed he hates pizza and everyone ridiculed him.,"The participant accurately recalls the group eating pizza, Gregory avoiding it, the special effort to get 'Baltimore-style' pizza, and Gregory's eventual confession that he hates pizza, followed by ridicule from the group. The response omits some specific reactions (e.g., Mr. Johnson's mop drop, Lady Gaga joke) and the extended discussion about Gregory's picky eating, but covers the main sequence and core events.",95,80
33,46,D,Post,Q13,Recall,Long,The Town,"The group of bank robbers robbed a bank transport truck and it went wrong and they shot the guy in the armed money transport truck. The cops got there sooner than expected and they went on a big car chase. They then were able to switch vehicles, set the original getaway car on fire, and flee in a new getaway car that their criminal partners met them in. They finally lost the police, but a cop outside a construction site saw them but turned a blind eye. They successfully evaded police.","The participant accurately recalls the armored truck robbery, the guard being shot, the police arriving quickly, the car chase, the vehicle switch, and the burning of the original getaway car. They also mention the police nearly catching them and the crew escaping, which aligns with the model events. The only minor deviation is the mention of a cop turning a blind eye, which is not in the model events, but overall, the response is highly accurate and specific.",95,90
49,49,E,Post,Q13,Recall,Short,Abbot Elementary,"I was vaguely familiar with this show, although I had never watched it. They were in the teachers lounge, or a storeroom. The discussion was about pizza, with one character saying he didn't eat that variety which I think was pepperoni. Also a mention of how greasy it was too. You can tell by the look on his face that he doesn't like it.","The response identifies the teachers' lounge and that the discussion centers on pizza, with Gregory not liking a certain variety and appearing uncomfortable. However, it lacks the key moment of Gregory admitting he doesn't like pizza, the group’s reaction, and the context of him lying to fit in, only hinting at his dislike through facial expression.",90,30
110,49,E,Post,Q18,Recall,Long,Mad Max,"Being familiar with the franchise it depicts a post apocalyptic world where water and gasoline are the most precious commodities. This was different as it introduced virginal woman as commodities too. The WAR BOYS were a great addition too, as one seems to defect and join Max and Furiousa. Charlize Theron and Tom Harden played the reluctant hero's.","The response does not recall any of the specific MODEL EVENTS. It provides general background about the franchise and characters, but does not mention the battle, the Buzzards, the War Rig, or any of the key actions from the moment in question.",95,0
9,50,F,Post,Q13,Recall,Long,Abbot Elementary,"Gregory is disgusted and admits that he does not like pizza. Gregory had stated earlier that he likes his pizza wet. So his friend went out of his way to get him a ""wet"" pizza. Caught in a lie, Gregory hesitated and then walked out. Gregory had some weird food issues where he just likes food that is plain and tasteless.","The participant accurately recalls Gregory admitting he does not like pizza, the lie about 'wet' (Baltimore-style) pizza, Jacob getting the special pizza, and Gregory walking out. They also mention Gregory's picky eating. However, they omit several group reactions, the mop drop, and the Lady Gaga joke, and conflate some details, but the main sequence and motivations are well captured.",90,80
157,50,F,Post,Q18,Recall,Short,Mad Max,"Max, a wanderer in post-apocalyptic Australia, is strapped to the front of a war vehicle. He is used as a prop and a source of blood as the War Boys attack a tanker. In this scene, one of the warriors is launching a defense against his attackers. The battle takes place at high speed among various modified vehicles.","The response identifies Max strapped to a vehicle and a high-speed battle among modified vehicles, which aligns with events 1-3. However, it lacks mention of the suicide attack, the War Boy's leap, explosion, or Furiosa's tactics, omitting the most distinctive elements of the key moment.",90,50
