respondent,group,questionnaire,question_code,question,format,title,response
41,F,Survey,E16,Enjoyment,Long,Abbot Elementary,It made me realize that we shouldn't assume
42,F,Survey,E16,Enjoyment,Long,Abbot Elementary,humored
44,F,Survey,E16,Enjoyment,Long,Abbot Elementary,it was funny and made me laugh.
60,F,Survey,E16,Enjoyment,Long,Abbot Elementary,That you can have faith in people
70,F,Survey,E16,Enjoyment,Long,Abbot Elementary,I enjoy step and It reminded me of college. Happy.
85,F,Survey,E16,Enjoyment,Long,Abbot Elementary,it made me laugh
96,F,Survey,E16,Enjoyment,Long,Abbot Elementary,"I felt happy, joyous, and was humored"
10,B,Post,Q20-1,ComprehensionHelp,Long,Mad Max,Watching the movie it sort of followed the plot line. It was a little hard to follow at times
15,B,Post,Q20-1,ComprehensionHelp,Long,Mad Max,From the start of the scene the story line was pretty clear and easy to follow.
37,B,Post,Q20-1,ComprehensionHelp,Long,Mad Max,What helped my understanding was the camera work. The way the shots focused on the action happening helped me infer what could be going on
39,B,Post,Q20-1,ComprehensionHelp,Long,Mad Max,The imagery. There was not a lot of dialogue. The way her Father reacted once he discovered Furiosa's intention was telling.
56,B,Post,Q20-1,ComprehensionHelp,Long,Mad Max,The scene was action packed many explosions people died. The coinciding parts made me want to find out more
58,B,Post,Q20-1,ComprehensionHelp,Long,Mad Max,i've seen other mad max films before so i knew the gist of things of whats happenign in this world
64,B,Post,Q20-1,ComprehensionHelp,Long,Mad Max,Having context for the characters and scene from watching the entire intro and everything helped. It was also shot and edited in such a way that the action was clear and easy to follow.
73,B,Post,Q20-1,ComprehensionHelp,Long,Mad Max,"The theme of the place, the action, the vehicles, & overall feeling ."
77,B,Post,Q20-1,ComprehensionHelp,Long,Mad Max,The dialogue between characters helped me understand some of the action occurring.
90,B,Post,Q20-1,ComprehensionHelp,Long,Mad Max,"The additional scenes showing the reign and control of the warlord, as well as the actual heir trying to exit from a hidden compartment in the rig."
100,E,Post,Q20-1,ComprehensionHelp,Long,Mad Max,Nothing really. It was a best guess of my understanding of what happened based on context clues
108,E,Post,Q20-1,ComprehensionHelp,Long,Mad Max,What helped me understand the scene more was hearing the brothers talk about the situation.
20,E,Post,Q20-1,ComprehensionHelp,Long,Mad Max,The scene of the movie attracted my attention and wanted to watch the whole movie at home
36,E,Post,Q20-1,ComprehensionHelp,Long,Mad Max,Paying attention for sure . Being able to focused on the movie and its entirety.
40,E,Post,Q20-1,ComprehensionHelp,Long,Mad Max,While there was a lot going on it was easy to figure out that Furiosa was basically stealing the rig and these people was chasing her. Trying to get her to stop.
49,E,Post,Q20-1,ComprehensionHelp,Long,Mad Max,I has seen this movie and the rest of the MAD MAX franchise before. MAX is always central to every movie with the one armed Fusioso devops her character with very little dialogue
69,E,Post,Q20-1,ComprehensionHelp,Long,Mad Max,What helped my understanding is that I know the tied up man was an enemy.
74,E,Post,Q20-1,ComprehensionHelp,Long,Mad Max,not really that much.  It is pretty self explanatory.  but more explanation of the back story would make it better
79,E,Post,Q20-1,ComprehensionHelp,Long,Mad Max,While watching everything was clear to understand who was who and against who
80,E,Post,Q20-1,ComprehensionHelp,Long,Mad Max,I think the clip being extremely action packed and it’s ability to hold my attention was very helpful to my underhanding.
84,E,Post,Q20-1,ComprehensionHelp,Long,Mad Max,The side shot was clear to depict that she was in danger and able to escape as she acted quickly to just barely escape.
86,E,Post,Q20-1,ComprehensionHelp,Long,Mad Max,Nothing really I have a poor memory of this one as I couldn’t focus on what was going on
9,E,Post,Q20-1,ComprehensionHelp,Long,Mad Max,The graphics helped my understanding. But the scene just kept going on
97,E,Post,Q20-1,ComprehensionHelp,Long,Mad Max,"They had good exposition and clues into how the particular world worked. Especially calling them ""blood banks"" and ""breeders"" respectively."
37,B,Post,Q20-1,ComprehensionImprove,Long,Mad Max,"My understanding could’ve been improved more, the film was confusing without speaking. The characters didn’t speak at all."
56,B,Post,Q20-1,ComprehensionImprove,Long,Mad Max,More context  of the scene and who these things are and what they want to accomplish
58,B,Post,Q20-1,ComprehensionImprove,Long,Mad Max,more details on the characters from mad max and more details on the world they live in
73,B,Post,Q20-1,ComprehensionImprove,Long,Mad Max,Probably if the dialogue was louder & everything didn't feel repetitive
77,B,Post,Q20-1,ComprehensionImprove,Long,Mad Max,"The scene simply needed to be based more on realism and needed not be consistently action-packed, allowing the scene more time to develop."
100,E,Post,Q20-1,ComprehensionImprove,Long,Mad Max,I don’t think anything. Maybe having seen the movie before as I have not
36,E,Post,Q20-1,ComprehensionImprove,Long,Mad Max,If I had seen the entire movie . I only saw a fourth of the movie . I think if I saw more I could have a stronger opinion!
69,E,Post,Q20-1,ComprehensionImprove,Long,Mad Max,What would have improved my understanding is if I had read the plot of the movie.
79,E,Post,Q20-1,ComprehensionImprove,Long,Mad Max,I have seen the movie before but do not have great background on the mad max universe and what everyone’s roles are. I am not sure of the names of the groups or detailed information about them which leaves me a little bit confused during some scenes
80,E,Post,Q20-1,ComprehensionImprove,Long,Mad Max,I think being introduced to the characters properly by knowing their name and backstory I would know more about them and would be able to solidify a relationship with the character. In turn I would remember more or understand more of the video clip.
84,E,Post,Q20-1,ComprehensionImprove,Long,Mad Max,If thier was a close uo and then a long shot from behind to clear the understanding that she got away and diverted danger.
86,E,Post,Q20-1,ComprehensionImprove,Long,Mad Max,Not much I didn’t find this seem very amusing and found it easy to lose track of what was going on
9,E,Post,Q20-1,ComprehensionImprove,Long,Mad Max,I didn't completely understand the plot. The scene was very disturbing and not my favorite
97,E,Post,Q20-1,ComprehensionImprove,Long,Mad Max,It being anything remotely based in reality. I don't watch many movies like this so it took a while to understand the world.
10,B,Post,Q18,Recall,Long,Mad Max,This chase scene was about a battle to catch Imperator Furiosa and then there was another gang that intercepted them and the fight began. Rocky was hood ornament.  Furious was trying to get the big truck rig away to free the women inside to keep them from prison with the weird old guy who kept them enslaved as breeders.
15,B,Post,Q18,Recall,Long,Mad Max,This was a battle where Imperator Furiosa was escaping with the truck and trailer to free women from the old weird guy who kept them as slaves for breeding.  Another gang tried to stop them and this big battle broke out with Rocky as a hood ornament.  Furiosa managed to get away in a big sand storm.
37,B,Post,Q18,Recall,Long,Mad Max,This one was difficult because of how long the scene was. But I remember the guy jumped with two sticks and exploded the car infront of him. After he jumped the guy dies and the car explodes and causes damage all around him. This was a scene I had to recall because I remember it was one of the shocking moments
39,B,Post,Q18,Recall,Long,Mad Max,Furiosa chose to take her Father's oil rig off the designated route. This caused a stir and a chase ensued. Tom Hardy's character is strapped to the front of the chasing car. This allows the driver to survive as he needs it survive and drive. The driver follows Furiosa into a big storm and attempts to blow himself up to stop her. This fails as the flare doesn't ignite an explosion.
56,B,Post,Q18,Recall,Long,Mad Max,They took away some people who I think were the breeders or the woman and they were getting chased. They decided to run into enemy territory and into the storm in order to lose them. The person who was getting their blood taken out was tied to the car. They end up killing the enemy’s but many of the friendlies end up dying.
58,B,Post,Q18,Recall,Long,Mad Max,Max is a slave to these dictators who ue woman to breed monster people and max who is a former cop and one of the dictators sons blood slaves escapes their clutches and teams up with other slaves like furiosa and they steal the dictators car and make a run for it in the wasteland over this world where gas is what everyone wants.
64,B,Post,Q18,Recall,Long,Mad Max,"In this scene, Furiousa has gone rogue and is trying to escape with a bunch of pregnant women used as breeding stock. The evil leader guy (who's name I don't remember) has sent a bunch of warriors to track her down, and this scene is a battle between her people and his, as they drive into a sandstorm. Max is chained to the front of the car to steal his blood to vitalize the driver who's like a berserker."
73,B,Post,Q18,Recall,Long,Mad Max,"They were being chased by some other people & some random dude was being held hostage in the front of a car. There were alot of explosions alot of unique ways of killing each other, etc . I believed they ended up getting away but im not too sure about that there was alot of screaming & brutality There was also some guy playing guitar"
77,B,Post,Q18,Recall,Long,Mad Max,"My summarization of this scene will be much more general as there was confusion and lack of clarity on my part. An escape occurred and then there was an intense chase scene that required three different entities, all of whom had many different weapons and other tools to their disposal. The chase took place in a dessert and featured many different power struggles occurring amongst the different entities."
90,B,Post,Q18,Recall,Long,Mad Max,The Half Life War Boys and their warlord leader are chasing down a rogue imperator  named Furiousa that seems to be transporting the young adult female heir (and potentially others) of the warlord and his hostage mate. The imperator was sent out originally to a place called Gastown to collect/steal fuel and munitions. The scene ends with Furiosa and her rig escaping through an immense dust storm.
100,E,Post,Q18,Recall,Long,Mad Max,Furiosa took off with females being used for their breeding. This ensues a chase between Furiosa and the other members of the group. It’s a super intense chase and fight scene. Mad max is chained to the front of the car and is being used for his blood by the driver who is sick. Everyone’s trying to kill everyone
108,E,Post,Q18,Recall,Long,Mad Max,"In this scene, the main character was tied to a car to be someone's blood bank because it looked like they were dying, but they wanted to die trying to protect their group. In this scene, the group was running after one of their cars that changed route course to help protect them from invaders but also to stop them from escaping into other territory."
20,E,Post,Q18,Recall,Long,Mad Max,The war take driver had 5 girls that she was smuggling east to get away from their husband and when the husband found out he sent people to get his wife’s back and their was a fight to get them back and when they went off road to head east the people that was with them was confused why and where they left from someone alerted the husband and he sent people to retrieve them
36,E,Post,Q18,Recall,Long,Mad Max,They had captured the man and was riding across the desert to fight the enemies . I felt like they were also fighting each other for power and control. It was a lot of action for sure . I felt like those characters all had been adubted at some point and were turned into something they were not in the beginning.
40,E,Post,Q18,Recall,Long,Mad Max,the 'bad people' are chasing Furiosa who has veered off course from the original destination to get fuel. These people are all chasing her. The guy who is in mid air jumped off Furiosa's tanker truck and was trying to prevent the chasers from stopping her. The guy strapped to the car on the left is Max who was kidnapped. They are using his blood to power their car.
49,E,Post,Q18,Recall,Long,Mad Max,"Being familiar with the franchise it depicts a post apocalyptic world where water and gasoline are the most precious commodities. This was different as it introduced virginal woman as commodities too. The WAR BOYS were a great addition too, as one seems to defect and join Max and Furiousa. Charlize Theron and Tom Harden played the reluctant hero's."
69,E,Post,Q18,Recall,Long,Mad Max,"The warriors were driving strange looking vehicles. The  warriors had captured  I believe Max they tied him up they were traveling to go to war with other warriors. There was great violent scenes to my, the violent scenes were happening really fast for me I tried to keep up with the scenes from the  movie"
74,E,Post,Q18,Recall,Long,Mad Max,They are chasing a gas truck because there is a shortage of gas and gas is a commodity which is very valuable.  They are attacking and killing each other in a road race across a desert.  It is cool to watch but kind of gets very repetitive after awhile.  Also they dont explain why all the characters look like monsters kind of
79,E,Post,Q18,Recall,Long,Mad Max,"In this scene, the man jumping surrendered himself to take down one of the spikey cars that is their enemy. He is jumping off of his vehicle to land on the spikey vehicle and makes it explode. Max is being used as a blood bag for the person driving the car he is attached to so they strapped him to the front of the vehicle."
80,E,Post,Q18,Recall,Long,Mad Max,In this scene I recall a man was taken hostage and was tied to the front of a car. A women who was leading a team was on a mission but decided at that’s moment to stray from the mission and to accomplish her own plan. Thus a crew was sent out to stop the women from straying too far from the mission was there to ultimately punish her.
84,E,Post,Q18,Recall,Long,Mad Max,The man in back tosses the spear. The man pouncing upon the car gets speared. The car in front crashed into a flaming crash and all involved are burned in a great ball of fire. Then Furiosa and passenger are able to drive ahead and escape. The care continues to drive ahead and surpass all that are chasing it.
86,E,Post,Q18,Recall,Long,Mad Max,"They were trying to run away and these vehicles. They had a guy strapped to the front and he was injured. There is also a long bit of things that happened before they were all driving in those vehicles and there were animals if I remember correctly or something chasing them, which is why they’re running."
9,E,Post,Q18,Recall,Long,Mad Max,"They were chasing each other. They were chasing the female character because she was running away with some people hidden in her car. There was a character with guitar at the front of the car. In another car, there was a guy hooked up to get a blood transfusion from one of the demons. This scene was long and drawn out!"
97,E,Post,Q18,Recall,Long,Mad Max,"This was a long long long chase scene where one group was running from their horrible kingdom. The women breeders were escaping with Charlize's help. Meanwhile the soliders from the kingdom were chasing them. The man on the front of the car is a peasant being used as a ""blood bank"" for the soldiers who seem to keep other people's blood to survive. Maybe that is why they are so pale."
10,B,Survey,E16,Enjoyment,Long,Mad Max,"fascinated, enthralled, sympathetic"
15,B,Survey,E16,Enjoyment,Long,Mad Max,interested in the plot and story
37,B,Survey,E16,Enjoyment,Long,Mad Max,Suspense
56,B,Survey,E16,Enjoyment,Long,Mad Max,fast paced engaged the whole time
58,B,Survey,E16,Enjoyment,Long,Mad Max,it was exhilerating and exciting
64,B,Survey,E16,Enjoyment,Long,Mad Max,"I felt invested in the story - curious about the setting, world, and characters. I also felt a sense of suspense"
77,B,Survey,E16,Enjoyment,Long,Mad Max,It made me feel fascinated throughout the entire clip.
