id,respondent,group,questionnaire,question_code,question,form,title,response,recall_score,rationale,confidence_score
58,10,B,Post,Q13,Recall,Short,The Town,"This was the beginning of a bank truck robbery, there was a shoot out followed by a car chase thru the city using their minivan and after being chased by the police,  they managed to block the police and escape in a vehicle.  Finally towards the end the switched cars and at the end they burned a car.",70.0,"The response covers the main sequence: the robbery, shootout, car chase, switching vehicles, and burning the car. However, it lacks detail about the disguises, specific actions during the robbery, and the names or number of robbers. The chronology is mostly correct, but some details (e.g., 'blocking the police') are not explicit in the model events.",90.0
3,11,F,Post,Q13,Recall,Long,Abbot Elementary,They were talking about pizza they thought was the best and Chris rock said he liked crunchy soggy pizza called Baltimore style pizza. So someone went to buy it for him but it turns out he was lying and he doesn’t like pizza in general. They were discussing how he doesn’t like pizza and that can’t be possible,60.0,"The participant accurately recalls the main plot points: the pizza debate, Gregory (misnamed as Chris Rock) inventing 'Baltimore-style pizza,' someone getting the pizza for him, and his eventual admission that he doesn't like pizza. However, there are some inaccuracies (wrong name) and missing details about the group dynamics, specific actions, and the aftermath, so the recall is partial but generally correct.",85.0
150,11,F,Post,Q18,Recall,Short,Mad Max,To be honest I don’t remember to much. They were driving in a car and a bunch of other people were driving beside them and trying to kill someone I think. It wasn’t too clear there was not a lot of diologe in the scene. It was mainly just a lot of explosions and racing scenes. I didn’t find it enjoyable and can’t remember particular details,10.0,"The participant admits to not remembering much and provides only vague references to driving, attacks, and explosions. There is no mention of specific characters, actions, or sequence, and the response lacks detail and accuracy.",95.0
86,13,C,Post,Q18,Recall,Long,Abbot Elementary,"The other teachers were mocking him for not liking pizza. Eventually the guy admitted it, but he had to tell a detailed lie about pizza he liked in Baltimore that was crispy and soggy or some weird combo like that. It was a painful show to watch and it tried so hard to be funny. Then the teacher got all emotional because others got on him about not liking pizza and he went to go eat food in his car alone.",60.0,"The participant correctly recalls the teachers mocking Gregory for not liking pizza, his invention of a detailed lie about 'Baltimore-style' pizza, and the emotional fallout. They also mention the pizza being described as crispy and soggy, which matches the model. However, the response omits several specific events (e.g., the pizza tasting, Mr. Johnson's reaction, the food questioning sequence) and adds a detail not in the model (Gregory eating in his car), so the recall is moderate but not highly detailed.",85.0
73,13,C,Post,Q13,Recall,Short,The Town,"The guy was guarding outside while others were inside robbing the bank. Then chaos broke loose, cops arrived and a chase + shootout occurred. It was either a bank or a money truck, possibly both. I don't remember all the details but I do remember some of the men were shot and killed. Long police chase and I think they got away.",40.0,"The response captures the general structure: a guard outside, a robbery, chaos, police arrival, a chase, and a shootout. There is some confusion about whether it was a bank or a truck, and the mention of men being shot and killed is not fully accurate for this sequence, but the main events are broadly recognized.",85.0
139,14,A,Post,Q18,Recall,Short,Mad Max,"In this post apocalyptical wasteland fuel and machines are instruments of war between waring factions. The buzzards control their area and lay traps for would be passers by. A fight of spikes, motocross, and hamade lance bombs ensues. The rig driver Furiosa is extremely competent and seriously capable to multitask defense with driving.",60.0,"The response accurately describes the post-apocalyptic setting, the Buzzards laying traps, and the ensuing battle involving spikes and lance bombs. Furiosa's competence is noted, aligning with her defensive driving. However, the answer is more thematic and atmospheric than event-specific, lacking explicit mention of the War Boys' suicide attack or the detailed sequence of the battle.",85.0
16,14,A,Post,Q13,Recall,Long,The Town,The guys perform a heist on a money truck and have to get away from the cops. After the call goes out on the APB. An action packed chase scene happens in Boston city as they try to get away with the money. Eventually they switch cars and explode the first car and jump a bridge. Also at the same time a detective looks for clues and tries to intimidate/interrogate his suspects after the fact.,65.0,"The response covers the armored truck heist, the police chase, the car switch and explosion, the bridge jump, and the detective's investigation and interrogation. It captures the main action beats and some aftermath, but lacks detail on character names, disguises, and specific interactions. The chronology is mostly correct, though some details are generalized or slightly out of order.",92.0
96,15,B,Post,Q18,Recall,Long,Mad Max,This was a battle where Imperator Furiosa was escaping with the truck and trailer to free women from the old weird guy who kept them as slaves for breeding.  Another gang tried to stop them and this big battle broke out with Rocky as a hood ornament.  Furiosa managed to get away in a big sand storm.,60.0,"The participant accurately recalls Furiosa escaping with a truck to free women from a tyrannical figure, referencing the breeding slaves and the escape. They mention a battle with another gang and the sandstorm escape, and note Max as a 'hood ornament' (though misnamed as 'Rocky'). The response lacks specific names, detailed chronology, and omits several key actions and characters, but covers the main arc of the events described.",90.0
59,15,B,Post,Q13,Recall,Short,The Town,"This was the beginning of a bank truck robbery.  The 4 robberies all wore the same masks and after completing the robbery they drove off in a minivan and had a gunfight with Boston police and a car chase thru narrow streets.  They ended up crashing and blocking the street for the police, and escaped in another vehicle.  Once away they switched cars and set fire to the last car.",85.0,"This response includes most key events: the four robbers in matching masks, the robbery, escape in a minivan, gunfight and chase with Boston police, switching vehicles, and burning the getaway car. It omits some minor details (e.g., nun masks, armored truck specifics), but the sequence and main actions are well captured.",95.0
87,16,C,Post,Q18,Recall,Long,Abbot Elementary,"There were two main plots, one plot was that the light skin male did not like pizza and his colleagues were surprised by it. He said he only liked pizza from Delaware extra wet and so one of his friends got him that pizza so they could eat pizza together and see which pizza was the best. The other plot involved one of the teachers leading students in a step class after school and another teacher or principal wanting to take over that class and initially just having fun with the students and not working on step. The first teacher gets upset and the Second Lady gets more involved and the episode ends with a step show during a school event and the second teacher leaves right before the show leaving the students without the ability to show their dance to the school. The first teacher convinces her to show the school stepping together and both and the students step dance for the school and everyone is impressed and their relationship is good after",45.0,"The participant accurately recalls the main plot about Gregory (the 'light skin male') not liking pizza, inventing a story about a special pizza (though incorrectly says Delaware instead of Baltimore), and a colleague getting that pizza for him. The response includes the group's surprise and the pizza tasting event, but omits many details (names, specific actions, and the full sequence of events). The second plot about step class is not present in the MODEL EVENTS and is off-topic, lowering the recall score.",80.0
74,16,C,Post,Q13,Recall,Short,The Town,There were multiple men involved in a robbery of an armored truck carrying cash. They had large assault riffles and put on scary costumes that looked like nuns on for it. One of the armored truck men held one of the robbers hostage to try to get the money back and the robbers ended up shooting him and driving away but not for long as the police stated to follow them. They would drive through narrow roads in a minivan trying to evade the cops and got into some shootouts with police. Another robber comes and rescues them by blocking the road with another car and they get into the second getaway car while lighting up the minivan on fire and exploding,80.0,"This response accurately recalls multiple key events: the armored truck, nun disguises, the guard taking a robber hostage, the shooting, the minivan escape, the police chase, shootouts, the switch to a second car, and burning the minivan. The sequence and details are mostly correct, with only minor embellishments.",95.0
5,17,F,Post,Q13,Recall,Long,Abbot Elementary,"They brought in a pizza from a character's hometown after he lied and said he only liked a certain ""wet"" style from a specific restaurant to hide the fact that he doesn't like pizza. When he picked up a slice of the pizza it was dripping and looked so unappetizing. The character looked very uncomfortable and clearly did not want to eat the pizza.",65.0,"This response accurately describes the fabricated pizza preference, the act of bringing in the pizza, Gregory's discomfort, and his attempt to hide his dislike of pizza. It misses some group reactions and specific dialogue but demonstrates a clear understanding of the main sequence and motivations, with no major inaccuracies.",90.0
153,17,F,Post,Q18,Recall,Short,Mad Max,"The scene was a post-apocalyptic car chase through the desert. A bunch of scavenger-like characters were chasing the main character, and they also had a man hostage who the main character seemed to know. Lots of crashing and explosions and spears and cars made out of random salvaged items. There was a lot going on in this scene.",45.0,"The participant accurately recalls the post-apocalyptic car chase, scavenger attackers, and the chaotic, explosive action, which aligns with the general events of the scene. However, there is no mention of Furiosa by name, the War Boys, or the specific suicide attack, and the mention of a hostage is not supported by the model events. The response is somewhat detailed but lacks specificity and some accuracy.",80.0
123,19,D,Post,Q18,Recall,Short,Abbot Elementary,"The younger guy brought in pizza for the teachers, and shared that he went to great lengths to get the type of pizza he thought Gregory likes. Gregory shared with the others that he doesn’t like pizza, after trying to hide that fact from them for a long time. They berated him for it, and he stood by his opinion.",65.0,"The participant accurately recalls Jacob bringing in pizza for Gregory, Gregory hiding his dislike of pizza, and the group reacting negatively when he admits the truth. However, there is a lack of detail about specific actions, names, and the sequence of events, and some nuances (like the Lady Gaga joke or Mr. Johnson's reaction) are missing.",85.0
29,19,D,Post,Q13,Recall,Long,The Town,"3-4 men in creepy nun costumes and masks robbed a truck full of cash. They had big guns, maybe machine guns. They shot and killed one of the guards of the truck. They took all of the money from the truck and put it in their car and then got in a big car chase with the cops who were trying to capture them. There were many police vehicles, a lot of shooting, a lot of chaotic driving and crashing, and eventually they got into a different van and set the first car on fire.",70.0,"This response includes the nun costumes, the robbery of a cash truck, the use of large guns, the shooting (though incorrectly states a guard was killed rather than wounded), the theft of money, the chaotic police chase, the car switch, and the burning of the first vehicle. It omits names, locations, and some finer points (e.g., the bridge, the officer's inaction), but the main sequence and actions are well captured. The error about the guard being killed slightly lowers the score.",92.0
46,20,E,Post,Q13,Recall,Short,Abbot Elementary,One of his colleagues got him his own pizza for their pizza day for the teachers in the teacher lounge and the pizza was soggy when he lifted it and then he told them that he doesn’t like pizza and everyone in the room was shocked and questioning him about not liking pizza. Then he told them the reason why he doesn’t like pizza,80.0,"This response captures several key events: the special pizza brought for Gregory, the soggy pizza detail, his admission of not liking pizza, and the group's shocked reaction and questioning. It also notes that Gregory explains his reasons. While it misses some minor details and the full sequence, it is accurate and fairly detailed.",95.0
107,20,E,Post,Q18,Recall,Long,Mad Max,The war take driver had 5 girls that she was smuggling east to get away from their husband and when the husband found out he sent people to get his wife’s back and their was a fight to get them back and when they went off road to head east the people that was with them was confused why and where they left from someone alerted the husband and he sent people to retrieve them,,,
124,35,D,Post,Q18,Recall,Short,Abbot Elementary,"I wasn’t able to get this far in the session. They were having technical difficulties trying to set up my equipment, so I was only able to see the first show or a movie which was the town because I seem part of that or maybe it was part one that made a very familiar so that’s how I remember that, but I was unable to make it to this part of the session due totechnical difficulties",0.0,The participant clearly states they did not see this part of the session due to technical difficulties and provides no relevant recall of the modeled events.,95.0
31,35,D,Post,Q13,Recall,Long,The Town,"In the scene, they are robbing the bank and basically watching the cops arrive and as they arrive, they basically start having a shoot out with them to get away but end up getting chased trying to flee the scene of the bank where they robbed and shot the security guard so I fling there’s another cop car that ends up chasing them. They end up shooting that one then they flea again sapphire to the car jump in another car and cross a bridge that is being lifted.",55.0,"The participant accurately recalls the bank robbery, the shootout with police, the security guard being shot, the car chase, and the crew switching cars and crossing a bridge. However, some details are imprecise (e.g., 'bridge being lifted' is not in the model events), and the response lacks specific names and deeper detail.",80.0
47,36,E,Post,Q13,Recall,Short,Abbot Elementary,"The crew was eatting pizza . Several of the actors were eatting pizza . The actor was asked to have  a slice of pizza , he didn’t like it ( he don’t really like pizza ) and he told the other actor. He thinks pizza isn’t a good meal plus it was rather wet . He’s likes bring his own lunch to work . He rather a different kind of human being/ nothing wrong with liking what you likes .",55.0,"The response identifies the group eating pizza, Gregory being asked to eat, his dislike for pizza, and the pizza being wet. However, it lacks specific names, omits the context of the Baltimore-style pizza, and does not clearly describe the group’s reactions or the chronology of confessions and teasing, resulting in a less detailed and somewhat vague recall.",80.0
108,36,E,Post,Q18,Recall,Long,Mad Max,They had captured the man and was riding across the desert to fight the enemies . I felt like they were also fighting each other for power and control. It was a lot of action for sure . I felt like those characters all had been adubted at some point and were turned into something they were not in the beginning.,15.0,"The response vaguely references Max being captured and desert chases, which aligns with the initial capture and pursuit events. However, it lacks specific details about characters, locations, or actions, and introduces inaccurate generalizations about all characters being 'adopted' and fighting for power. Chronology and named events are missing.",70.0
97,37,B,Post,Q18,Recall,Long,Mad Max,This one was difficult because of how long the scene was. But I remember the guy jumped with two sticks and exploded the car infront of him. After he jumped the guy dies and the car explodes and causes damage all around him. This was a scene I had to recall because I remember it was one of the shocking moments,,,
60,37,B,Post,Q13,Recall,Short,The Town,"They robbed a truck full of money, they get chased by cops, I remember a brief moment he stared down a kid looking at them in awe. This scene I remember created suspense, and boosted my adrenaline. They get chased until I think they get caught or start shooting down the cop car. This was a key moment because they caused mayhem in the city",45.0,"The participant accurately recalls the armored truck robbery, the police chase, and the exchange of gunfire, but omits key details such as the disguises, the switch to a second vehicle, and the burning of the minivan. The mention of a child watching is not in the model events, and the chronology is somewhat vague.",80.0
98,39,B,Post,Q18,Recall,Long,Mad Max,Furiosa chose to take her Father's oil rig off the designated route. This caused a stir and a chase ensued. Tom Hardy's character is strapped to the front of the chasing car. This allows the driver to survive as he needs it survive and drive. The driver follows Furiosa into a big storm and attempts to blow himself up to stop her. This fails as the flare doesn't ignite an explosion.,,,
61,39,B,Post,Q13,Recall,Short,The Town,Prior to the robbery Ben Affleck's character makes eye contact with a young boy after putting on his mask. The three gunmen robbed an armored truck and killed the security personnel. They proceeded to have a chase with police in the streets of Boston with many shots fired from their assault rifles. They were able to switch vehicles and set the van causing an explosion.,,,
48,40,E,Post,Q13,Recall,Short,Abbot Elementary,It was set in a lunchroom at an office. Some people ordered pizza - everyone thought the person on the right loved pizza when in reality he hated pizza. But just told everyone he did to basically fit in and not get questions as to why in the world wouldn't he live pizza. The other people in the lunchroom were asking questions.,60.0,"The participant accurately recalls the setting (lunchroom), the group eating pizza, and the central plot point that Gregory pretended to like pizza to fit in. However, there are some inaccuracies (calling it an office, 'person on the right') and missing details (names of other characters, specific actions, and the sequence of events).",85.0
109,40,E,Post,Q18,Recall,Long,Mad Max,the 'bad people' are chasing Furiosa who has veered off course from the original destination to get fuel. These people are all chasing her. The guy who is in mid air jumped off Furiosa's tanker truck and was trying to prevent the chasers from stopping her. The guy strapped to the car on the left is Max who was kidnapped. They are using his blood to power their car.,60.0,"The participant accurately recalls Furiosa veering off course, being pursued, Max being strapped to a car and used for his blood, and a character jumping from a vehicle in a suicide attack. While some details are imprecise (e.g., the jumper's allegiance), the response covers several key events and character roles with moderate detail.",85.0
6,41,F,Post,Q13,Recall,Long,Abbot Elementary,"So when he said that he liked the pizza from Boston crispy and soggy, he didn't realize that his coworker would go out and buy it and bring it over to him so even though his coworker surprised him with the pizza that he claimed he liked, he still wasn't interested in the pizza. He just said it just to make his coworkers happy",55.0,"The participant accurately recalls that Gregory lied about liking a specific style of pizza and that a coworker brought him the pizza he claimed to like, which he then avoided. However, they incorrectly state 'Boston' instead of 'Baltimore' and omit several key details such as the group debate, the pizza competition, and the reactions of the other teachers. The core deception and its motivation are captured, but with some factual errors and missing context.",85.0
154,41,F,Post,Q18,Recall,Short,Mad Max,"I remember the woman Furiosa speeding anddriving and everyone else fighting off everyone who was chasing them, including the guy in the passenger seat.They were driving at high speed. It was getting violent. They were fighting back. There was a lot of excitement, a lot of action and intensity. I remember they had someone hostage and everyone was fighting back against each other. It was definitely a nailbiter.",55.0,"The participant correctly identifies Furiosa, the high-speed chase, fighting back, and the general violence and intensity of the scene. However, the mention of a hostage is inaccurate, and there is no reference to the Buzzards, War Boys, or the suicide attack. The recall is somewhat detailed and mostly accurate, but some key specifics are missing or incorrect.",85.0
7,42,F,Post,Q13,Recall,Long,Abbot Elementary,"In this scene, the guy looking at the pizza with disdain lied to his friends about liking pizza by making up this huge story about how he only likes pizza from Boston I believe, and he said it was like wet and also crunchy so his friend drove all the way over there and got him a pizza and this is basically the scene where they find out that he lied to them and he just doesn’t like pizza or lots of other foods that are American staples. The characters were these two guys that are in the picture as well as four other women who are also part of the cast, though I believe only two of those other women were part of this particular scene.",,,
155,42,F,Post,Q18,Recall,Short,Mad Max,"It looked like there’s some sort of chase going on between two factions and there was a lady driving one of the cars who I guess was in charge of the one faction and there were these other humanoid things involved. In the chasing faction, there was a man tied to the front of a car, and the people being pursued were blowing up some of the cars in pursuit, and at one point some guy jumped from the main truck and sacrificed himself to blow up another car, after eating some white spray paint stuff.",80.0,"This response accurately describes Furiosa as the leader, the two factions, the man tied to the front of a car (a detail from the film), the blowing up of pursuing cars, and specifically mentions a character sacrificing himself to blow up another car, which matches the suicide attack event. The only minor inaccuracy is the mention of 'eating some white spray paint stuff,' which is a detail from the film but not in the model events. Overall, the recall is detailed and closely matches the model events.",95.0
88,43,C,Post,Q18,Recall,Long,Abbot Elementary,All of the teachers mentioned their favorite pizza establishments.  One of the teachers said they like pizza from a place in Baltimore.  They like their pizza wet.  Another teacher went and bought the pizza from the establishment in Baltimore.  The teacher that said they liked the pizza from Baltimore said it is disgusting and said they don't like pizza.,55.0,"The response captures the core of the episode: teachers discussing favorite pizza places, Gregory claiming to like a special (Baltimore) pizza, a colleague obtaining it, and Gregory ultimately admitting he doesn't like pizza. However, it lacks detail about the specific actions, names, and the full sequence of group reactions, and incorrectly states the pizza was actually from Baltimore rather than being invented. The main events are present but summarized with minimal detail.",85.0
75,43,C,Post,Q13,Recall,Short,The Town,"The characters in this scene robbed a truck that had money in it.  They wore these masks as a way to hide their identity.  As they were trying to escape, they were being chased by the police.  The characters used machine guns to shoot at the police.  At the end of the scene they get into another vehicle and light their original vehicle on fire.",70.0,"The participant accurately recalls the armored truck robbery, the use of masks, the police chase, the gunfire, the switch to a second vehicle, and the burning of the original van. However, there is a lack of detail about the sequence of events, specific actions (e.g., subduing guards, the guard's resistance), and no mention of character names or the North End location.",90.0
8,44,F,Post,Q13,Recall,Long,Abbot Elementary,This is from an episode where everybody is talking about their favorite pizza places. His character says he really loves St Louis pizza. He's picking up the pizza his friends got for him from his hometown and he doesn't want anything to do with it since he hates pizza. The pizza is extra soggy and greasy and looks really nasty when held up. It's a super funny scene and his expressions throughout it are hilarious.,,,
156,44,F,Post,Q18,Recall,Short,Mad Max,"A bunch of guys are attacking each other in the desert and this guy decides to jump off his car and make the ultimate sacrifice. There's another guy tied to the front of the car watching all this happen and he seems to be a hostage. The sacrificer, explodes right after making contact with the car he's jumping on and takes out the enemy. With his comrades and friends cheering on his sacrifice. Super fun scene, very exciting and action packed.",70.0,"The participant accurately recalls the desert battle, the suicide attack by a War Boy, the explosion, and the cheering. However, they omit specific names (Furiosa, Buzzards), the War Rig, and some details about the attackers and defenders. The mention of a hostage tied to the front is accurate but not central to the model events for this scene.",90.0
126,46,D,Post,Q18,Recall,Short,Abbot Elementary,The teachers were at a lunch break and they were all eating pizza. One teacher wasn’t eating pizza and he said it’s because he only likes pizza from where he is from. Another teacher who is sucking up to the other teacher said he went all the way to get that teacher the pizza from where he is from. The teacher finally confessed he hates pizza and everyone ridiculed him.,70.0,"The response accurately recalls the lunch setting, Gregory not eating pizza, the Baltimore-style pizza effort by Jacob, Gregory's confession of disliking pizza, and the group's ridicule. Some details (names, specific foods, dramatic reactions) are missing, but the main sequence and motivations are well captured.",90.0
33,46,D,Post,Q13,Recall,Long,The Town,"The group of bank robbers robbed a bank transport truck and it went wrong and they shot the guy in the armed money transport truck. The cops got there sooner than expected and they went on a big car chase. They then were able to switch vehicles, set the original getaway car on fire, and flee in a new getaway car that their criminal partners met them in. They finally lost the police, but a cop outside a construction site saw them but turned a blind eye. They successfully evaded police.",70.0,"The participant accurately recalls the armored truck robbery, the shooting of a guard, the police arriving quickly, the car chase, the vehicle switch, burning the getaway car, and the tense encounter with a police officer who lets them go. The response is missing specific names, some details about the disguises, and does not mention the FBI or aftermath, but the main sequence and actions are well captured.",90.0
49,49,E,Post,Q13,Recall,Short,Abbot Elementary,"I was vaguely familiar with this show, although I had never watched it. They were in the teachers lounge, or a storeroom. The discussion was about pizza, with one character saying he didn't eat that variety which I think was pepperoni. Also a mention of how greasy it was too. You can tell by the look on his face that he doesn't like it.",35.0,"The response identifies the teachers' lounge and the pizza discussion, and notes that one character does not like the pizza. However, it lacks detail about the group dynamic, the specific revelation, and the reactions of the other characters. The mention of pepperoni and greasiness is not central to the model events.",80.0
110,49,E,Post,Q18,Recall,Long,Mad Max,"Being familiar with the franchise it depicts a post apocalyptic world where water and gasoline are the most precious commodities. This was different as it introduced virginal woman as commodities too. The WAR BOYS were a great addition too, as one seems to defect and join Max and Furiousa. Charlize Theron and Tom Harden played the reluctant hero's.",40.0,"The response correctly identifies the post-apocalyptic setting, the scarcity of water and gasoline, the introduction of the wives as commodities, and the War Boys. However, it is vague about specific plot events and chronology, and only alludes to a War Boy defecting without clear reference to Nux's arc or the major chase sequences.",80.0
9,50,F,Post,Q13,Recall,Long,Abbot Elementary,"Gregory is disgusted and admits that he does not like pizza. Gregory had stated earlier that he likes his pizza wet. So his friend went out of his way to get him a ""wet"" pizza. Caught in a lie, Gregory hesitated and then walked out. Gregory had some weird food issues where he just likes food that is plain and tasteless.",65.0,"The response accurately recalls Gregory's disgust, his earlier claim about liking 'wet' pizza, Jacob's effort to get the special pizza, Gregory being caught in a lie, and his food issues. However, it omits several key details (e.g., the group debate, specific reactions, and the Lady Gaga joke) and slightly mischaracterizes Gregory's food preferences as 'plain and tasteless,' which is not explicitly stated in the model events.",90.0
157,50,F,Post,Q18,Recall,Short,Mad Max,"Max, a wanderer in post-apocalyptic Australia, is strapped to the front of a war vehicle. He is used as a prop and a source of blood as the War Boys attack a tanker. In this scene, one of the warriors is launching a defense against his attackers. The battle takes place at high speed among various modified vehicles.",60.0,"The response correctly identifies Max strapped to the front, the War Boys, and the high-speed battle with modified vehicles. However, it lacks detail about Furiosa, the Buzzards, the suicide attack, and the outcome of the battle, making the recall less complete.",85.0
127,51,D,Post,Q18,Recall,Short,Abbot Elementary,"they were arguing about something delaing with lunch. The black guy was telling them what pizza he liked and the white guy, knowing this, had already bought his favorite pizza. But the black guy didn't want it after all. It was a boring scene. They were all talking about lunch for some reason. It seemed very unnatural and not funny. The acting was forced.",40.0,"The response identifies the lunch context, the pizza preference issue, and that one teacher bought pizza for another who ultimately did not want it. However, it lacks detail about the confession, group reactions, and the specific events that followed, and uses vague or incorrect language (e.g., 'arguing').",80.0
34,51,D,Post,Q13,Recall,Long,The Town,"The Ben Affleck team was in the middle of robbing an armoured car and this team member is addressing one of the guards. He said something like ""you should have let us go"" or something like that. I think the guard was in the cab of the truck and he came out and tried to shoot the robbers. 

It was on a busy street in Boston",35.0,"The response identifies the armored car robbery, a confrontation with a guard, and the Boston setting. However, it lacks detail about the crew, the sequence of events, disguises, vehicle switch, and aftermath. The quote is approximate and the description is vague, but the core event is correctly identified.",80.0
