title,form,group,metric,respondent_a,respondent_b,pair_key,shared_bins,windows_generated
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageThetadB,55,104,55-104,497,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageThetadB,55,116,55-116,497,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageThetadB,98,104,98-104,498,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageThetadB,98,116,98-116,497,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageThetadB,104,116,104-116,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,41,42,41-42,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,41,44,41-44,410,203
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,41,50,41-50,482,239
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,41,60,41-60,498,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,41,70,41-70,492,244
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,41,85,41-85,488,242
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,41,96,41-96,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,41,107,41-107,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,41,109,41-109,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,41,113,41-113,495,246
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,41,117,41-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,42,44,42-44,410,203
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,42,50,42-50,482,239
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,42,60,42-60,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,42,70,42-70,492,244
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,42,85,42-85,488,242
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,42,96,42-96,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,42,107,42-107,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,42,109,42-109,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,42,113,42-113,495,246
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,42,117,42-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,44,50,44-50,395,196
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,44,60,44-60,410,203
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,44,70,44-70,406,201
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,44,85,44-85,401,199
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,44,96,44-96,410,203
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,44,107,44-107,410,203
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,44,109,44-109,410,203
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,44,113,44-113,408,202
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,44,117,44-117,138,67
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,50,60,50-60,482,239
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,50,70,50-70,477,237
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,50,85,50-85,473,235
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,50,96,50-96,482,239
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,50,107,50-107,482,239
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,50,109,50-109,482,239
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,50,113,50-113,480,238
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,50,117,50-117,144,70
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,60,70,60-70,492,244
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,60,85,60-85,488,242
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,60,96,60-96,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,60,107,60-107,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,60,109,60-109,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,60,113,60-113,495,246
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,60,117,60-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,70,85,70-85,483,240
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,70,96,70-96,492,244
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,70,107,70-107,492,244
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,70,109,70-109,492,244
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,70,113,70-113,490,243
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,70,117,70-117,148,72
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,85,96,85-96,488,242
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,85,107,85-107,488,242
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,85,109,85-109,488,242
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,85,113,85-113,486,241
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,85,117,85-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,96,107,96-107,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,96,109,96-109,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,96,113,96-113,495,246
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,96,117,96-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,107,109,107-109,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,107,113,107-113,495,246
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,107,117,107-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,109,113,109-113,495,246
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,109,117,109-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageAlphadB,113,117,113-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,41,42,41-42,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,41,44,41-44,410,203
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,41,50,41-50,482,239
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,41,60,41-60,498,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,41,70,41-70,492,244
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,41,85,41-85,488,242
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,41,96,41-96,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,41,107,41-107,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,41,109,41-109,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,41,113,41-113,495,246
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,41,117,41-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,42,44,42-44,410,203
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,42,50,42-50,482,239
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,42,60,42-60,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,42,70,42-70,492,244
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,42,85,42-85,488,242
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,42,96,42-96,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,42,107,42-107,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,42,109,42-109,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,42,113,42-113,495,246
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,42,117,42-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,44,50,44-50,395,196
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,44,60,44-60,410,203
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,44,70,44-70,406,201
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,44,85,44-85,401,199
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,44,96,44-96,410,203
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,44,107,44-107,410,203
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,44,109,44-109,410,203
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,44,113,44-113,408,202
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,44,117,44-117,138,67
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,50,60,50-60,482,239
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,50,70,50-70,477,237
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,50,85,50-85,473,235
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,50,96,50-96,482,239
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,50,107,50-107,482,239
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,50,109,50-109,482,239
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,50,113,50-113,480,238
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,50,117,50-117,144,70
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,60,70,60-70,492,244
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,60,85,60-85,488,242
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,60,96,60-96,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,60,107,60-107,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,60,109,60-109,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,60,113,60-113,495,246
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,60,117,60-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,70,85,70-85,483,240
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,70,96,70-96,492,244
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,70,107,70-107,492,244
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,70,109,70-109,492,244
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,70,113,70-113,490,243
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,70,117,70-117,148,72
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,85,96,85-96,488,242
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,85,107,85-107,488,242
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,85,109,85-109,488,242
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,85,113,85-113,486,241
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,85,117,85-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,96,107,96-107,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,96,109,96-109,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,96,113,96-113,495,246
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,96,117,96-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,107,109,107-109,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,107,113,107-113,495,246
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,107,117,107-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,109,113,109-113,495,246
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,109,117,109-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageBetadB,113,117,113-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,41,42,41-42,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,41,44,41-44,410,203
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,41,50,41-50,482,239
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,41,60,41-60,498,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,41,70,41-70,492,244
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,41,85,41-85,488,242
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,41,96,41-96,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,41,107,41-107,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,41,109,41-109,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,41,113,41-113,495,246
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,41,117,41-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,42,44,42-44,410,203
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,42,50,42-50,482,239
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,42,60,42-60,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,42,70,42-70,492,244
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,42,85,42-85,488,242
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,42,96,42-96,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,42,107,42-107,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,42,109,42-109,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,42,113,42-113,495,246
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,42,117,42-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,44,50,44-50,395,196
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,44,60,44-60,410,203
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,44,70,44-70,406,201
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,44,85,44-85,401,199
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,44,96,44-96,410,203
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,44,107,44-107,410,203
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,44,109,44-109,410,203
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,44,113,44-113,408,202
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,44,117,44-117,138,67
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,50,60,50-60,482,239
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,50,70,50-70,477,237
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,50,85,50-85,473,235
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,50,96,50-96,482,239
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,50,107,50-107,482,239
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,50,109,50-109,482,239
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,50,113,50-113,480,238
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,50,117,50-117,144,70
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,60,70,60-70,492,244
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,60,85,60-85,488,242
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,60,96,60-96,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,60,107,60-107,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,60,109,60-109,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,60,113,60-113,495,246
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,60,117,60-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,70,85,70-85,483,240
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,70,96,70-96,492,244
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,70,107,70-107,492,244
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,70,109,70-109,492,244
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,70,113,70-113,490,243
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,70,117,70-117,148,72
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,85,96,85-96,488,242
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,85,107,85-107,488,242
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,85,109,85-109,488,242
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,85,113,85-113,486,241
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,85,117,85-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,96,107,96-107,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,96,109,96-109,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,96,113,96-113,495,246
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,96,117,96-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,107,109,107-109,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,107,113,107-113,495,246
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,107,117,107-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,109,113,109-113,495,246
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,109,117,109-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageDeltadB,113,117,113-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,41,42,41-42,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,41,44,41-44,410,203
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,41,50,41-50,482,239
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,41,60,41-60,498,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,41,70,41-70,492,244
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,41,85,41-85,488,242
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,41,96,41-96,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,41,107,41-107,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,41,109,41-109,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,41,113,41-113,495,246
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,41,117,41-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,42,44,42-44,410,203
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,42,50,42-50,482,239
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,42,60,42-60,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,42,70,42-70,492,244
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,42,85,42-85,488,242
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,42,96,42-96,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,42,107,42-107,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,42,109,42-109,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,42,113,42-113,495,246
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,42,117,42-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,44,50,44-50,395,196
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,44,60,44-60,410,203
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,44,70,44-70,406,201
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,44,85,44-85,401,199
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,44,96,44-96,410,203
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,44,107,44-107,410,203
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,44,109,44-109,410,203
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,44,113,44-113,408,202
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,44,117,44-117,138,67
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,50,60,50-60,482,239
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,50,70,50-70,477,237
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,50,85,50-85,473,235
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,50,96,50-96,482,239
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,50,107,50-107,482,239
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,50,109,50-109,482,239
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,50,113,50-113,480,238
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,50,117,50-117,144,70
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,60,70,60-70,492,244
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,60,85,60-85,488,242
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,60,96,60-96,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,60,107,60-107,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,60,109,60-109,497,247
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,60,113,60-113,495,246
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,60,117,60-117,150,73
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,70,85,70-85,483,240
A Star Is Born,Short,F,EEG_PSD_ElectrodeClusterAverageGammadB,70,96,70-96,492,244
